Rank,Team,Conf,Region,Rating,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Poll_Index
48,UW-Eau Claire,WIAC,6,10.799806483867691,-0.2791074349538718,0.9233753553587714,0,1,1,0,0.018818679496441892,0.177499546072436,0.5905305458111443,1,0,1,0,0,0,0.5648233148209864
49,McMurry,SCAC,3,11.62331449241797,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.5607069311742814
50,Lake Forest,MWC,5,11.328658539970494,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.5464927726434397
51,Linfield,NWC,6,31.45751894315601,-7.554141610991859,1,0,1,1,0,-0.517998436033255,-0.13377647743317522,-0.011831363652951787,0,1,0,1,0,0,0.5373022257206502
52,Mary Hardin-Baylor,ASC,3,34.55895597400139,-6.059074939133091,1,0,1,1,0,-0.7225115104033676,-0.2865378984439436,-0.0429554688280438,0,1,0,0,0,0,0.5008539582709356
53,Huntingdon,USAC,3,10.321672159211236,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.4979159021080918
54,Bridgewater,ODAC,3,10.270532780435857,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.4954489462192181
55,Western Connecticut,LAND,2,10.17544483394999,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.4908619180784469
56,Trinity Conn.,NESCAC,1,9.812622379771469,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.4733594178255057
57,Randolph-Macon,ODAC,3,26.986533871346285,-12.372053615409541,0.9545353846682676,0,0,1,0,0.009612202662393932,0.11755375688853753,0.48665452089536565,1,0,1,0,0,0,0.45950633433028426
58,Whitworth,NWC,6,19.635346429726358,-9.921903815380475,0.9291314399172009,0,0,1,0,0.017003560029593467,0.1669867899945181,0.5744460650986679,1,0,1,0,0,0,0.45556054598837986
59,Hanover,HCAC,4,9.356001471966199,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.45133209437206917
